"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/strata_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/strata.csv?datainfo&rowcount&interval=Permian,Ladinian&private"
"Access Time","Fri 2024-10-25 09:23:12 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","interval","Permian,Ladinian"
"","timerule","major"
"","private","1"
"Elapsed Time","3.12"
"Records Found","3667"
"Records Returned","3667"
"Records:"
"record_type","group","formation","member","lithology","max_ma","min_ma","cc_list","n_colls","n_occs"
"str","","Barabashevka","","""limestone""","266.9","264.28","RU","1","18"
"str","","Barabashkaya","Upper","","264.28","254.14","RU","1","12"
"str","","Barakar","","","283.5","273.01","IN","20","274"
"str","","Barakar","Lalmatia Top Seam","","290.1","273.01","IN","1","1"
"str","","Barakar","Late","","283.5","273.01","IN","1","1"
"str","","Barakar","Late Nakkari","","290.1","273.01","IN","1","1"
"str","","Barakar","Lower Nakkari Seam","","290.1","273.01","IN","1","1"
"str","","Barakar","Salanpur Coal Seam","","290.1","273.01","IN","1","2"
"str","","Baralaba Coal Measures","Kaloola","mudstone","254.14","251.902","AU","1","1"
"str","","Baranów","","claystone/sandstone","247.2","242","PL","1","23"
"str","","Barents","","","303.7","293.52","RU","1","1"
"str","","Barfield","","""siliciclastic"",mudstone,sandstone","259.51","254.14","AU","47","158"
"str","","Barfield","Cottenham Sandstone","sandstone","259.51","254.14","AU","1","1"
"str","","Barneston","Florence","""limestone""","290.1","283.5","US","1","2"
"str","","Barneston","Florence Limestone","""limestone""","290.1","283.5","US","1","1"
"str","","Basal Conglomerate","","sandstone","259.51","251.902","PL","1","25"
"str","","Bateun Beni Zid","","""shale""","266.9","264.28","TN","1","1"
"str","","Bay of Harbours","Praltos","""siliciclastic""","259.51","254.14","FA","1","1"
"str","","Bayankalashan","","","248.9","247.2","CN","5","11"
"str","","Bayinhe","","","266.9","264.28","CN","21","31"
"str","","Baytugan","","marl,sandstone","273.01","266.9","RU","2","33"
"str","","Bazardarian","","sandstone","298.9","293.52","TJ","6","59"
"str","","Bazardarin","","""limestone"",siltstone","290.1","283.5","TJ","12","79"
"str","","Bead Mountain","","""limestone""","290.1","283.5","US","3","9"
"str","","Beattie","","""limestone""","298.9","293.52","US","1","1"
"str","","Beattie","Cottonwood","""limestone""","298.9","293.52","US","3","3"
"str","","Beattie","Florena","""shale""","298.9","293.52","US","5","35"
"str","","Beattie","Florena shale","""shale""","298.9","293.52","US","2","3"
"str","","Beattie Limestone","Cottonwood Limestone","packstone/bafflestone","298.9","293.52","US","1","10"
"str","","Beattie Ls","Florena sh","""shale""","298.9","293.52","US","1","5"
"str","","Bebertal-Schichten","","mudstone","298.9","290.1","DE","1","7"
"str","","Bechateur","","""limestone""","242","237","TN","1","1"
"str","","Beckers","","""siliciclastic""","293.52","290.1","AU","3","3"
"str","","Beekeeper","","","266.9","264.28","AU","1","7"
"str","","Beglyi","","""siliciclastic""","273.01","266.9","RU","7","17"
"str","","Beisi","","""limestone""","251.2","247.2","CN","3","13"
"str","","Beiya","","","247.2","242","CN","1","1"
"str","","Belcher Channel","","""limestone"",bindstone,gravel","293.52","290.1","CA","29","61"
"str","","Belcourt","","""limestone""","290.1","283.5","CA","11","12"
"str","","Belebeevo","","""siliciclastic""","273.01","266.9","RU","3","33"
"str","","Belebei","","""limestone""/""siliciclastic"",""siliciclastic"",claystone/""mixed carbonate-siliciclastic"",lime mudstone,lime mudstone/siltstone,sandstone,siltstone/conglomerate","266.9","264.28","RU","11","37"
"str","","Belebey","","siltstone/""shale""","266.9","264.28","RU","3","15"
"str","","Belebey","Krasnyi Yar","mudstone/siltstone","273.01","266.9","RU","1","9"
"str","","Belebeyeoskaya Suite","","","266.9","264.28","RU","1","12"
"str","","Belford","","""shale"",""siliciclastic"",mudstone,sandstone,siltstone","266.9","264.28","AU","28","42"
"str","","Belkovskaya","","""siliciclastic""","290.1","283.5","RU","1","1"
"str","","Bell Canyon","","""limestone"",marl,wackestone/mudstone","264.28","259.51","US","30","108"
"str","","Bell Canyon","Hegler","""limestone""","266.9","264.28","US","24","375"
"str","","Bell Canyon","Lamar","""limestone""","264.28","259.51","US","21","513"
"str","","Bell Canyon","McCombs","""limestone""","264.28","259.51","US","2","22"
"str","","Bell Canyon","Pinery","""limestone"",floatstone","264.28","259.51","US","38","539"
"str","","Bell Canyon","Rader","""limestone""","264.28","259.51","US","23","463"
"str","","Bell Canyon","Reef Trail","mudstone/packstone,rudstone,rudstone/packstone,wackestone,wackestone/mudstone","264.28","259.51","US","13","61"
"str","","Belle Plains","","""shale"",""shale""/mudstone,""siliciclastic""","290.1","251.902","US","7","59"
"str","","Bellerophon","","""limestone"",claystone,dolomite,dolomite/""limestone"",dolomite/wackestone,lime mudstone,marl,marl/dolomite,packstone,sandstone,wackestone,wackestone/packstone","254.14","251.902","BA,IT,SI","95","523"
"str","","Bellerophon","Bulla","marl,packstone/grainstone,packstone/wackestone,wackestone","254.14","251.902","IT","26","238"
"str","","Bellerophon","Dolomite facies","marl","254.14","251.902","IT","4","8"
"str","","Bellerophon","Pektinidenkalk","""limestone""","254.14","251.902","IT","2","4"
"str","","Bellerophon Limestone","","""limestone""","259.51","254.14","IT","2","2"
"str","","Bellerophon Limestone","Bulla","""limestone""","254.14","251.902","IT","1","42"
"str","","Belloy","","chert","286.1","254.14","CA","1","16"
"str","","Beloshchel'e","","""siliciclastic""","264.28","254.14","RU","1","1"
"str","","Belushkin","","""siliciclastic""","283.5","273.01","RU","5","10"
"str","","Belushkinskaya Suite","","","273.01","266.9","RU","1","34"
"str","","Bera","","sandstone/""shale"",siltstone","266.9","264.28","MY","2","18"
